Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
34083-0000,11/19/2021,150-0009                 ,70.00000,800-0042                 ,0.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,300-0248                 ,70.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,360-0030                 ,70.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,360-0031                 ,56.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,360-0032                 ,70.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,360-0033                 ,70.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,423-0010                 ,140.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,423-0011                 ,140.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,425-0003                 ,140.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,800-0006                 ,70.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,800-0007                 ,70.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,800-0018                 ,70.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,800-0019                 ,70.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,800-0031                 ,0.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,800-0032                 ,140.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,800-0033                 ,0.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,810-0003                 ,140.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,820-0001                 ,420.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,840-0001                 ,0.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,840-0002                 ,70.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,880-0005                 ,70.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,915-0001                 ,70.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,800-0031                 ,210.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,800-0033                 ,70.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,410-0001-B               ,1.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,500-0102                 ,2.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,423-0002                 ,20.00000
34083-0000,11/19/2021,150-0009                 ,70.00000,400-0001                 ,1.00000

