Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
33830-0000,09/22/2021,102-0001                 ,60.00000,100-0001-RMA             ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,200-0070                 ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,200-0071                 ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,200-0097                 ,240.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,200-0104                 ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,200-0109                 ,120.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,200-0110                 ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,200-0113                 ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,200-0202                 ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,200-0202                 ,0.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,210-0068                 ,240.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,210-0226                 ,120.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,230-0014                 ,360.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,230-0176                 ,120.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,230-0304                 ,0.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,230-0346                 ,120.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,230-0396                 ,2160.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,230-0418                 ,240.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,260-0005                 ,120.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,260-0024                 ,3.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,270-0004                 ,0.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,270-0036                 ,0.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,285-0010                 ,120.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,285-0032                 ,0.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,285-0033                 ,0.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,285-0039                 ,0.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,285-0076                 ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,300-0019                 ,11.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,300-0059                 ,120.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,300-0074                 ,120.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,300-0129                 ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,300-0130                 ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,300-0133                 ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,360-0030                 ,48.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,360-0031                 ,29.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,360-0032                 ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,360-0033                 ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,423-0010                 ,120.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,423-0011                 ,0.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,425-0003                 ,120.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,500-0102                 ,3.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,800-0006                 ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,800-0007                 ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,800-0018                 ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,800-0019                 ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,800-0031                 ,0.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,800-0031                 ,180.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,800-0032                 ,120.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,800-0033                 ,0.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,810-0003                 ,120.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,820-0001                 ,360.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,840-0001                 ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,880-0005                 ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,915-0001                 ,60.00000
33830-0000,09/22/2021,102-0001                 ,60.00000,800-0033                 ,60.00000

