Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
33302-0000,05/13/2021,102-0001                 ,38.00000,100-0001-RMA             ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,200-0064                 ,8.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,200-0068                 ,4.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,200-0070                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,200-0071                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,200-0097                 ,152.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,200-0104                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,200-0109                 ,76.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,200-0110                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,200-0111                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,200-0113                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,210-0068                 ,152.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,210-0226                 ,76.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,230-0014                 ,228.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,230-0176                 ,76.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,230-0300                 ,16.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,230-0304                 ,456.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,230-0346                 ,76.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,230-0396                 ,1656.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,230-0418                 ,152.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,260-0005                 ,76.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,260-0024                 ,10.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,270-0004                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,270-0036                 ,0.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,285-0010                 ,76.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,285-0032                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,285-0033                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,285-0039                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,300-0059                 ,76.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,300-0074                 ,76.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,300-0129                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,300-0130                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,300-0133                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,360-0030                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,360-0031                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,360-0032                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,360-0033                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,410-0001-B               ,1.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,423-0010                 ,76.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,423-0011                 ,76.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,425-0003                 ,76.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,800-0006                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,800-0007                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,800-0018                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,800-0019                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,800-0031                 ,114.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,800-0032                 ,76.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,800-0033                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,810-0003                 ,76.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,820-0001                 ,228.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,840-0001                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,880-0005                 ,38.00000
33302-0000,05/13/2021,102-0001                 ,38.00000,915-0001                 ,38.00000

