Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
34129-0000,11/24/2021,150-0016                 ,70.00000,100-0002-RMA             ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,150-0010                 ,0.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,200-0064                 ,2.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,200-0070                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,200-0071                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,200-0097                 ,280.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,200-0104                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,200-0110                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,200-0113                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,200-0140                 ,140.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,200-0202                 ,70.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,210-0068                 ,0.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,210-0068                 ,144.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,210-0081                 ,2.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,210-0086                 ,3.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,210-0232                 ,26.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,210-0255                 ,1.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,230-0322                 ,10.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,230-0365                 ,10.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,230-0388                 ,840.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,230-0396                 ,2520.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,260-0005                 ,140.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,260-0007                 ,10.00000
34129-0000,11/24/2021,150-0016                 ,70.00000,260-0078                 ,17.50000
34129-0000,11/24/2021,150-0016                 ,70.00000,285-0032                 ,70.00000
