Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
33896-0000,10/12/2021,150-0009                 ,60.00000,100-0001-RMA             ,60.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,150-0010                 ,0.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,200-0064                 ,4.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,200-0070                 ,60.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,200-0071                 ,60.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,200-0097                 ,240.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,200-0104                 ,60.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,200-0109                 ,120.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,200-0110                 ,60.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,200-0113                 ,60.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,200-0202                 ,60.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,210-0017                 ,13.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,210-0068                 ,240.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,210-0081                 ,7.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,210-0086                 ,6.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,210-0158                 ,6.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,210-0226                 ,120.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,210-0232                 ,40.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,230-0014                 ,360.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,230-0176                 ,120.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,230-0304                 ,0.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,230-0346                 ,120.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,230-0388                 ,720.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,230-0396                 ,2160.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,230-0418                 ,240.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,260-0005                 ,120.00000
33896-0000,10/12/2021,150-0009                 ,60.00000,260-0007                 ,32.00000
